Start_session,0.002
SeqNum,HR,BR,ST,Post,Act,BWAmp,BWNoise,BRConf,ECGAmp,ECGNoise,HRConf,HRV,GSR,Time
46,0,106,-32768,-12,1,138,65535,255,800,140,0,65535,65280,0.971
47,0,107,-32768,-11,1,124,65535,255,800,320,0,65535,65280,1.971
48,60,107,-32768,-11,2,112,65535,255,800,540,0,65535,65280,2.971
49,57,109,-32768,-11,2,113,65535,255,3120,580,0,65535,65280,3.971
50,58,109,-32768,-10,3,117,65535,255,3120,440,0,65535,65280,4.971
51,58,110,-32768,-10,3,112,65535,255,1660,260,0,65535,65280,5.971
52,58,110,-32768,-10,2,104,65535,255,1660,180,0,65535,65280,6.971
53,58,108,-32768,-10,2,99,65535,255,460,140,0,65535,65280,7.971
54,58,108,-32768,-10,3,92,65535,255,460,120,0,65535,65280,8.971
55,58,109,-32768,-6,8,94,65535,255,460,160,0,65535,65280,9.971
56,58,109,-32768,-7,3,107,65535,255,460,140,0,65535,65280,10.970000000003434
57,58,107,-32768,-7,3,119,65535,255,460,160,0,65535,65280,11.971
58,58,107,-32768,-7,2,113,65535,255,460,120,0,65535,65280,12.971
59,0,105,-32768,-7,1,102,65535,255,800,140,0,65535,65280,13.971
60,0,105,-32768,-8,2,124,65535,255,800,160,0,65535,65280,14.971
61,0,101,-32768,-8,1,153,65535,255,800,160,0,65535,65280,15.971
End_session,16.65
