,HRV RMSSD,HRV RMSSD Timestamp
0,4744.327905270385,0.05
1,,0.05
2,,0.06
3,,0.06
4,,0.07
5,,0.07
6,,0.07
7,,0.08
8,,0.08
9,,0.09
10,,0.09
11,,0.09
12,,0.1
13,,0.1
14,,0.11
15,,0.11
16,,0.11
17,,0.12
18,,0.12
19,,0.13
20,,0.13
21,,0.13
22,,0.14
23,,0.14
24,,0.15
25,,0.15
26,,0.15
27,,0.16
28,,0.16
29,,0.17
30,,0.17
31,,0.17
32,,0.18
33,,0.18
34,,0.19
35,,0.19
36,,0.19
37,,0.2
38,,0.2
39,,0.21
40,,0.21
41,,0.21
42,,0.22
43,,0.22
44,,0.23
45,,0.23
46,,0.23
47,,0.24
48,,0.24
49,,0.25
50,,0.25
51,,0.25
52,,0.26
53,,0.26
54,,0.27
55,,0.27
56,,0.27
57,,0.28
58,,0.28
59,,0.29
60,,0.29
61,,0.29
62,,0.3
63,,0.3
64,,0.31
65,,0.31
66,,0.31
67,,0.32
68,,0.32
69,,0.33
70,,0.33
71,,0.33
72,,0.34
73,,0.34
74,,0.35
75,,0.35
76,,0.35
77,,0.36
78,,0.36
79,,0.37
80,,0.37
81,,0.37
82,,0.38
83,,0.38
84,,0.39
85,,0.39
86,,0.39
87,,0.4
88,,0.4
89,,0.41
90,,0.41
91,,0.41
92,,0.42
93,,0.42
94,,0.43
95,,0.43
96,,0.43
97,,0.44
98,,0.44
99,,0.45
100,,0.45
101,,0.45
102,,0.46
103,,0.46
104,,0.47
105,,0.47
106,,0.47
107,,0.48
108,,0.48
109,,0.49
110,,0.49
111,,0.49
112,,0.5
113,,0.5
114,,0.51
115,,0.51
116,,0.51
117,,0.52
118,,0.52
119,,0.53
120,,0.53
121,,0.53
122,,0.54
123,,0.54
124,,0.55
125,,0.55
126,,0.55
127,,0.56
128,,0.56
129,,0.57
130,,0.57
131,,0.57
132,,0.58
133,,0.58
134,,0.59
135,,0.59
136,,0.59
137,,0.6
138,,0.6
139,,0.61
140,,0.61
141,,0.61
142,,0.62
143,,0.62
144,,0.63
145,,0.63
146,,0.63
147,,0.64
148,,0.64
149,,0.65
150,,0.65
151,,0.65
152,,0.66
153,,0.66
154,,0.67
155,,0.67
156,,0.67
157,,0.68
158,,0.68
159,,0.69
160,,0.69
161,,0.69
162,,0.7
163,,0.7
164,,0.71
165,,0.71
166,,0.71
167,,0.72
168,,0.72
169,,0.73
170,,0.73
171,,0.73
172,,0.74
173,,0.74
174,,0.75
175,,0.75
176,,0.75
177,,0.76
178,,0.76
179,,0.77
180,,0.77
181,,0.77
182,,0.78
183,,0.78
184,,0.79
185,,0.79
186,,0.79
187,,0.8
188,,0.8
189,,0.81
190,,0.81
191,,0.81
192,,0.82
193,,0.82
194,,0.83
195,,0.83
196,,0.83
197,,0.84
198,,0.84
199,,0.85
200,,0.85
201,,0.85
202,,0.86
203,,0.86
204,,0.87
205,,0.87
206,,0.87
207,,0.88
208,,0.88
209,,0.89
210,,0.89
211,,0.89
212,,0.9
213,,0.9
214,,0.91
215,,0.91
216,,0.91
217,,0.92
218,,0.92
219,,0.93
220,,0.93
221,,0.93
222,,0.94
223,,0.94
224,,0.95
225,,0.95
226,,0.95
227,,0.96
228,,0.96
229,,0.97
230,,0.97
231,,0.97
232,,0.98
233,,0.98
234,,0.99
235,,0.99
236,,0.99
237,,1.0
238,,1.0
239,,1.01
240,,1.01
241,,1.01
242,,1.02
243,,1.02
244,,1.03
245,,1.03
246,,1.03
247,,1.04
248,,1.04
249,,1.05
250,,1.05
251,,1.05
252,,1.06
253,,1.06
254,,1.07
255,,1.07
256,,1.07
257,,1.08
258,,1.08
259,,1.09
260,,1.09
261,,1.09
262,,1.1
263,,1.1
264,,1.11
265,,1.11
266,,1.11
267,,1.12
268,,1.12
269,,1.13
270,,1.13
271,,1.13
272,,1.14
273,,1.14
274,,1.15
275,,1.15
276,,1.15
277,,1.16
278,,1.16
279,,1.17
280,,1.17
281,,1.17
282,,1.18
283,,1.18
284,,1.19
285,,1.19
286,,1.19
287,,1.2
288,,1.2
289,,1.21
290,,1.21
291,,1.21
292,,1.22
293,,1.22
294,,1.23
295,,1.23
296,,1.23
297,,1.24
298,,1.24
299,,1.25
300,,1.25
301,,1.25
302,,1.26
303,,1.26
304,,1.27
305,,1.27
306,,1.27
307,,1.28
308,,1.28
309,,1.29
310,,1.29
311,,1.29
312,,1.3
313,,1.3
314,,1.31
315,,1.31
316,,1.31
317,,1.32
318,,1.32
319,,1.33
320,,1.33
321,,1.33
322,,1.34
323,,1.34
324,,1.35
325,,1.35
326,,1.35
327,,1.36
328,,1.36
329,,1.37
330,,1.37
331,,1.37
332,,1.38
333,,1.38
334,,1.39
335,,1.39
336,,1.39
337,,1.4
338,,1.4
339,,1.41
340,,1.41
341,,1.41
342,,1.42
343,,1.42
344,,1.43
345,,1.43
346,,1.43
347,,1.44
348,,1.44
349,,1.45
350,,1.45
351,,1.45
352,,1.46
353,,1.46
354,,1.47
355,,1.47
356,,1.47
357,,1.48
358,,1.48
359,,1.49
360,,1.49
361,,1.49
362,,1.5
363,,1.5
364,,1.51
365,,1.51
366,,1.51
367,,1.52
368,,1.52
369,,1.53
370,,1.53
371,,1.53
372,,1.54
373,,1.54
374,,1.55
375,,1.55
376,,1.55
377,,1.56
378,,1.56
379,,1.57
380,,1.57
381,,1.57
382,,1.58
383,,1.58
384,,1.59
385,,1.59
386,,1.59
387,,1.6
388,,1.6
389,,1.61
390,,1.61
391,,1.61
392,,1.62
393,,1.62
394,,1.63
395,,1.63
396,,1.63
397,,1.64
398,,1.64
399,,1.65
400,,1.65
401,,1.65
402,,1.66
403,,1.66
404,,1.67
405,,1.67
406,,1.67
407,,1.68
408,,1.68
409,,1.69
410,,1.69
411,,1.69
412,,1.7
413,,1.7
414,,1.71
415,,1.71
416,,1.71
417,,1.72
418,,1.72
419,,1.73
420,,1.73
421,,1.73
422,,1.74
423,,1.74
424,,1.75
425,,1.75
426,,1.75
427,,1.76
428,,1.76
429,,1.77
430,,1.77
431,,1.77
432,,1.78
433,,1.78
434,,1.79
435,,1.79
436,,1.79
437,,1.8
438,,1.8
439,,1.81
440,,1.81
441,,1.81
