,RR Rate,RR Rate Timestamp
0,516,0.57
1,515,0.63
2,514,0.68
3,512,0.74
4,511,0.8
5,507,0.85
6,506,0.91
7,504,0.96
8,500,1.02
9,498,1.08
10,495,1.13
11,495,1.19
12,494,1.24
13,493,1.3
14,492,1.36
15,489,1.41
16,488,1.47
17,487,1.52
18,484,1.58
19,484,1.64
20,484,1.69
21,484,1.75
22,485,1.8
23,487,1.86
24,487,1.92
25,489,1.97
26,490,2.03
27,491,2.08
28,494,2.14
29,495,2.2
30,499,2.25
31,501,2.31
32,503,2.36
33,506,2.42
34,508,2.48
35,510,2.53
36,510,2.59
37,510,2.64
38,507,2.7
39,505,2.76
40,500,2.81
41,498,2.87
42,496,2.92
43,495,2.98
44,495,3.04
45,497,3.09
46,499,3.15
47,500,3.2
48,502,3.26
49,503,3.32
50,505,3.37
51,505,3.43
52,505,3.48
53,504,3.54
54,504,3.6
55,503,3.65
56,504,3.71
57,505,3.76
58,507,3.82
59,509,3.88
60,512,3.93
61,512,3.99
62,511,4.04
63,505,4.1
64,500,4.16
65,491,4.21
66,488,4.27
67,486,4.32
68,488,4.38
69,491,4.44
70,496,4.49
71,497,4.55
72,496,4.6
73,487,4.66
74,479,4.72
75,461,4.77
76,451,4.83
77,442,4.88
78,429,4.94
79,426,5.0
80,429,5.05
81,434,5.11
82,442,5.16
83,461,5.22
84,471,5.28
85,487,5.33
86,493,5.39
87,496,5.44
88,497,5.5
89,496,5.56
90,493,5.61
91,491,5.67
92,490,5.72
93,488,5.78
94,488,5.84
95,487,5.89
96,488,5.95
97,488,6.0
98,488,6.06
99,489,6.12
100,489,6.17
101,490,6.23
102,490,6.28
103,490,6.34
104,490,6.4
105,489,6.45
106,488,6.51
107,488,6.56
108,488,6.62
109,488,6.68
110,489,6.73
111,490,6.79
112,491,6.84
113,494,6.9
114,496,6.96
115,499,7.01
116,501,7.07
117,503,7.12
118,507,7.18
119,509,7.24
120,513,7.29
121,516,7.35
122,518,7.4
123,521,7.46
124,523,7.52
125,526,7.57
126,527,7.63
127,529,7.68
128,532,7.74
129,534,7.8
130,536,7.85
131,537,7.91
132,538,7.96
133,538,8.02
134,537,8.08
135,536,8.13
136,535,8.19
137,533,8.24
138,530,8.3
139,529,8.36
140,527,8.41
141,526,8.47
142,526,8.52
143,526,8.58
144,526,8.64
145,525,8.69
146,525,8.75
147,525,8.8
148,523,8.86
149,522,8.92
150,518,8.97
151,516,9.03
152,514,9.08
153,511,9.14
154,510,9.2
155,507,9.25
156,506,9.31
157,504,9.36
158,501,9.42
159,499,9.48
160,496,9.53
161,494,9.59
162,493,9.64
163,492,9.7
164,492,9.76
165,493,9.81
166,494,9.87
167,495,9.92
168,496,9.98
169,496,10.04
170,492,10.09
171,489,10.15
172,485,10.2
173,477,10.26
174,474,10.32
175,472,10.37
176,474,10.43
177,477,10.48
178,485,10.54
179,489,10.6
180,494,10.65
181,494,10.71
182,492,10.76
183,487,10.82
184,485,10.88
185,484,10.93
186,487,10.99
187,491,11.04
188,504,11.1
189,511,11.16
190,526,11.21
191,533,11.27
192,539,11.32
193,550,11.38
194,554,11.44
195,562,11.49
196,566,11.55
197,570,11.6
198,580,11.66
199,585,11.72
200,596,11.77
201,601,11.83
202,605,11.88
203,608,11.94
204,607,12.0
205,600,12.05
206,595,12.11
207,588,12.16
208,572,12.22
209,565,12.28
210,552,12.33
